,ID,Query,Answer
0,1,経済産業省の役割について知りたい。,経済産業省は、日本の行政機関のひとつです。経済および産業の発展ならびに鉱物資源およびエネルギー資源の供給に関する行政を所管しています。民間の経済活力の向上及び対外経済関係の円滑な発展を中心とする経済及び産業の発展並びに鉱物資源及びエネルギー資源の安定的かつ効率的な供給の確保を図るために、マクロ経済政策、産業政策、通商政策、貿易管理業務、産業技術政策、流通政策、エネルギー政策などを所管しています。
1,2,確定申告のやり方を教えて欲しい。,確定申告書は、申告時点での住所地を管轄する税務署へ郵送するか、直接持参するか、e-Taxで申告します。 所得税の確定申告は2月16日から3月15日までですが、並行して行われる個人消費税の確定申告は1月4日から3月31日までです。2013年分から復興特別所得税の確定申告が必要ですが、所得税の申告書上で併せて計算して申告します。
2,3,電気自動車用の新型電池が高価なのはどうして？,原材料の枯渇に伴う価格高騰を理由としています。EVは莫大な鉱物資源を必要として、枯渇までは至らなくても、徐々に鉱石の品質が悪くなります。銅の鉱石中の銅の重量比は1900年には2%を超えていましたが、すでに0.5%程度下がっており、今後はさらに下がって行くと考えられます。品質が下がれば同じだけの銅を掘り出すための鉱石の量はそれだけ増えるため、コストや二酸化炭素排出量の増加にも繋がります。品質が下がると、その中から銅を精錬し取り出すためのコストもかかるようになります。
3,4,韓国企業サムスンの歴史について聞かせて。,李秉喆が早稲田大学中退後、馬山にて友人2人と1万円ずつ出資し設立した協同精米所の事業が失敗、その後1938年3月1日に大邱で設立した株式会社 三星商会が今日のサムスングループの始まりです。1948年には三星物産公司が設立され、引き続き、食べ物と着るものが不如意だった当時の状況に、一番需要が高かった分野である砂糖と服地を生産する企業として、第一製糖と第一毛織が作られました。
4,5,海外の児童労働問題の原因を説明してもらいたい。,児童労働の主要な要因は貧困であるとされていますが、学校へのアクセスや教育は重要ではないという親の考え方、子どもは従順で低賃金で雇えるという雇用主側の都合など、さまざまな要因が複雑に絡み合っています。消費者が少しでも安い物を求めれば、企業は低価格にするため原材料の調達費や労働者の賃金などのコストを削減しようとします。コスト削減の影響を大きく受けるのは、開発途上国の生産者です。適切な賃金が支払われないことによって、親の収入が少なく、子どもが学校へ行けず、働かなければならない状況となってしまいます。
5,10,気持ちが落ち着かない時の対処法を教えて。,リラクゼーションとは、生物の感情状態が低緊張であることであり、その状態では怒り、不安、恐れなどを原因としうる覚醒をしていない事です。つまり、リラクゼーションとは、身体と心が緊張と不安から解放されている状態のことをいいます。リラグゼーションは、瞑想、自律訓練法、漸進的筋弛緩法によって達成することが可能になります。
6,11,太鼓はどうやって作られていますか？,太鼓に張る膜は動物の皮、技術の進歩により合成樹脂なども使用されています。膜を胴に張るには、膜の周囲に紐を通したり、鋲で止める、ねじで締める方法があります。紐やねじで止めた場合、膜が緩んだ場合に締め直すことができるため調律が容易であり、鋲を打った場合は締め直しができないためあらかじめ限界まで強く締めてから膜を張るため、非常に堅牢に出来上がるのが特徴です。太鼓の胴は主に木または金属で作られています。
7,12,地震で津波が起きる理由はなんですか？,"断層が活動して地震が発生した時に、海底にまで断層のずれが達して海底面が上下に変化すると海水が上下に移動させられてその地形変化が海面に現われ水位の変動がうねりとなって周囲に広がり、津波となります。大地震においては、数十kmから時に1,000 kmを超える長さ、数十kmから数百kmの幅の範囲で、数十cmから数十mという規模で、数十秒から数分の間に、海底が一気に起きます。この体積変化のエネルギーは巨大で波長が非常に長いため、ほとんど失われることなく海水面の隆起や沈降に変換されて津波を生じます。"
8,13,愛知県豊橋市はどんなところ？,"愛知県の南東部に位置し、東三河地方における経済・交通の中心であり、愛知県の県庁機能の一部を有しています。市の人口は約37万人で県内5位です。
総務省が定める中京大都市圏域外であり独立した都市圏を形成しており、豊橋都市圏の人口は約67万人です。2020年の昼夜間人口比率は約97％であり、年々低下傾向にあります。
市徽章は、吉田城に8代君臨した長沢・松平・大河内家が用いていた馬印を横から見た形の千切です。"
9,14,義援金というのはどういうシステム？,"義援金とは災害の際に被災地・避難民に送られる寄付の一つです。寄付は福祉に係る費用の一部を担う重要な経済活動です。寄付者が自らの意思に基づき金銭・財産を対象機関・施設へ無償で供与することで行われます。寄付の多くは、公共事業や公益機関、福祉機関、医療機関、教育機関、宗教施設などに行われています。
事業・機関・施設は、公共的・公益的な社会役割を担っていますが、安定した収入源を持たず、寄付を主要な収入源の一つとしていることが多いです。"
10,19,キングコング西野亮廣さんの経歴を教えていただけないでしょうか。,1999年に、梶原雄太とキングコング結成し、2001年『はねるのトびら』のレギュラーに選ばれました。月9ドラマ『スローダンス』でドラマデビューをしています。その後、独学で絵を学び、絵本作家としてデビューしました。2016年には、4年半をかけて制作した絵本『えんとつ町のプペル』を出版しました。2021年に、吉本興業は西野亮廣とのマネジメント契約を終了すると発表しました。
11,21,清涼飲料水の定義ってなんかある？,清涼飲料水とは、乳酸菌飲料、乳及び乳製品を除いたアルコール分を含まない飲用の液体物のことです。「食品衛生法質疑応答ハンドブック」では、「トマトジュース、濃縮ジュース、凍結ジュース、ソーダ水、タンサン水、コーラ類、ジンジャエール、ミネラルウォーター、豆乳、ガラナ飲料等々およそ飲料はすべて清涼飲料水に該当する」と例示されます。一般的な意味では水以外のソフトドリンク全般を指しますが、食事に供されるスープ、牛乳、カップに注がれたコーヒー、紅茶、茶、ココアは含めません。
