,Query,A,B,C,ID_ABC,ID_AB,ID_A,ID
0,国民年金の免除申請をしたいのですが、申請に必要な持ち物は何を持っていけば良いですか？,71 87,469,36,"['71', '87', '469', '36']","['71', '87', '469']","['71', '87']","['71', '87', '469', '36']"
1,忍たま乱太郎の施設などはオープンしないのですか,,1770 1769,,"['1770', '1769']","['1770', '1769']",[],"['1770', '1769']"
2,人口が伸び悩む尼崎市ですが、明石市の様な子ども医療費助成を取り入れる計画はありますか？,,,593 375,"['593', '375']",[],[],"['593', '375']"
3,戸籍謄本の発行をして欲しいのですが、代金はいくらかかかりますか？,119 386,,19 1131 883 42,"['119', '386', '19', '1131', '883', '42']","['119', '386']","['119', '386']","['119', '386', '19', '1131', '883', '42']"
4,原付の登録をしようと思っています。登録にかかる料金と必要な持ち物が知りたいので教えてください。,191,32 73,192,"['191', '32', '73', '192']","['191', '32', '73']",['191'],"['191', '32', '73', '192']"
5,センタープールのファン送迎バスはどの駅から出ていますか,1352,,,['1352'],['1352'],['1352'],['1352']
6,正直言って、尼崎市のイメージは良くないと思うのですが、市のブランドイメージ向上の為の具体的な施策はありますか？,628 1782,7 43 278 456,,"['628', '1782', '7', '43', '278', '456']","['628', '1782', '7', '43', '278', '456']","['628', '1782']","['628', '1782', '7', '43', '278', '456']"
7,飲食店を始めるにあたって、食品衛生関係の手続きをしたいのですが、どの窓口に行けばいいでしょうか。,1058,1521 378 1679,,"['1058', '1521', '378', '1679']","['1058', '1521', '378', '1679']",['1058'],"['1058', '1521', '378', '1679']"
8,国民健康保険証を紛失してしまったので、再発行に必要な持ち物とお金がいくらかかるか教えてくれませんか？,155,,209,"['155', '209']",['155'],['155'],"['155', '209']"
9,失業してから数ヶ月間仕事が見つからないので、生活保護の申請を考えています。対応窓口の営業時間と生活保護の申請に必要なものを教えて頂けないでしょうか？,298,,,['298'],['298'],['298'],['298']
10,国民年金の付加納付をしたいのですが、どのように手続きすればいいのか教えてください。,,469,314,"['469', '314']",['469'],[],"['469', '314']"
11,マイナンバーカードを失くしてしまって困っているのですが、相談に乗っている窓口と営業時間を教えてください。,,902 969,,"['902', '969']","['902', '969']",[],"['902', '969']"
12,昨日急に家族が亡くなったのですが、どのような手続きをすればいいのか分かりません。まずは何をすればいいのか教えて欲しいです。,,20 1407,488 193 505 102,"['20', '1407', '488', '193', '505', '102']","['20', '1407']",[],"['20', '1407', '488', '193', '505', '102']"
13,母子健康手帳を発行して頂きたいのですが、手続きには何が必要ですか？,370 306,,594 733 659 716,"['370', '306', '594', '733', '659', '716']","['370', '306']","['370', '306']","['370', '306', '594', '733', '659', '716']"
14,国民年金の納付書を誤って捨ててしまいました。どうしたらいいでしょうか？,985,,,['985'],['985'],['985'],['985']
15,新築住宅を購入することを考えているのですが、減額措置について教えて欲しいです。,237 1747,,,"['237', '1747']","['237', '1747']","['237', '1747']","['237', '1747']"
16,図書館で借りた本が、多忙で期限内に返せませんでした。何か手続きは必要でしょうか？,,842 1123,1472 1279 1172 1135 179 1389 109,"['842', '1123', '1472', '1279', '1172', '1135', '179', '1389', '109']","['842', '1123']",[],"['842', '1123', '1472', '1279', '1172', '1135', '179', '1389', '109']"
17,臨時福祉給付金の申請を忘れていたのですが、１日でも期限を過ぎるともうもらえないのでしょうか？,1260,,,['1260'],['1260'],['1260'],['1260']
18,転出証明書の発行をしたいと思っているのですが、料金はいくらかかりますか？,204,121 1270,8,"['204', '121', '1270', '8']","['204', '121', '1270']",['204'],"['204', '121', '1270', '8']"
19,先月会社を自己都合で退職しました。雇用保険の手続きをするにはどうしたらいいですか？,1223 1277,,,"['1223', '1277']","['1223', '1277']","['1223', '1277']","['1223', '1277']"
20,遠くに住んでいる友人に尼崎市の特産品を送りたいのですが、特産品を扱っているお店や通販ショップなどはありますか？,628,258 244 1618,,"['628', '258', '244', '1618']","['628', '258', '244', '1618']",['628'],"['628', '258', '244', '1618']"
